property_name,property_address,Estate_name
"Furnished 2bdrm Apartment in Siaya Park, Kileleshwa for rent",Kagundo road,Siaya park
"3bdrm Apartment in Muchatha, Ruaka for rent",1 Kigwaru,Muchatha
"3bdrm Apartment in Kasuku Center, Kileleshwa for rent",Kileleshwa,Kasuku center
1bdrm Apartment in Kileleshwa for rent,kileleshwa,"65
     
      sqm"
2bdrm Apartment in South B for rent,South b,South b
"2bdrm Apartment in Kijani Suites, Malindi for rent",Lamu road,kijani Suites
3bdrm Apartment in Mtwapa for rent,MTWAPA,"10
     
      sqm"
5bdrm Maisonette in Runda for rent,Runda,RUNDA
3bdrm Apartment in Parklands/Highridge for rent,Parklands,"250
     
      sqm"
3bdrm Apartment in Nyayo Embakasi for rent,Nyayo embakasi,nyayo embakasi
"2bdrm Apartment in Hurlingam, Chokaa for rent",Hurlingam,Hurlingam
RAYOHPROPERTY 4BEDROOM VILLA Beach Front Kikambala,rayomosh14@gmail.com,Newly-Built
"2bdrm House in Wa Kiama, Makuyu for rent",Makuyu,Wa kiama
"2bdrm Apartment in Chips Corner, Ndenderu for rent",NDENDERU,CHIPS CORNER
2bdrm Apartment in Ruaka for rent,Ruaka,"50
     
      sqm"
2bdrm Apartment in Deliverance for rent,Deliverance,Deliverance
1bdrm Apartment in Kikuyu for rent,Kidfarmaco,"80
     
      sqm"
3bdrm Apartment in Tudor for rent,Tudor,Tudor
Studio Apartment in South B for rent,South b,South b
"1bdrm Room & Parlour in Shop To Let, Karen for rent",Shops to let,Shop to let
2bdrm Apartment in Langata for Rent,Dam estate,Fairly Used
1bdrm Bungalow in Nairobi West for Rent,Gadhi Avenue,"4000
     
      sqm"
3bdrm Apartment in Langata for Rent,Cemetery,"5000
     
      sqm"
3bdrm Apartment in Riverside Drive for Rent,Riverside Drive,"145
     
      sqm"
4bdrm Maisonette in Runda for rent,Kiambu rd,Runda
"5bdrm Townhouse / Terrace in Royal Finesse, Kitengela for rent",Nairobi namanga rd,Royal Finesse
3bdrm Apartment in Langata for rent,Dam estate,"120
     
      sqm"
"Furnished 1bdrm Apartment in Kangara Crescent, for Rent",Tiffany heights,"kangara crescent, Ngegu Kiambu"
2bdrm Apartment in Nairobi West for rent,Ghadhi avenue,Nairobi west
"4bdrm Apartment in Valley Arcade, Lavington for rent",Lavington Nairobi,Valley Arcade
4 Bedrooms Bungalow for Rent Karen,karen,Fairly Used
1bdrm House in Loresho for rent,Loresho ridge,LORESHO
"1bdrm Block of Flats in Milimani, Kiambu CBD for rent",Kiambu Milimani,Milimani
"3bdrm Apartment in Othaya Road, Kileleshwa for rent",Kileleshwa Nairobi,Othaya Road
Executive 2 Bedroom To Let,kamakis,"730
     
      sqm"
"2bdrm Apartment in Ridor Plaza, NkaiMurunya for rent",Acacia,Ridor Plaza
1bdrm Bedsitter in Kitengela Mall for rent,Nomad,Kitengela Mall
"1bdrm House in Palestina, Kisauni for rent",Bamburi,Palestina
2bdrm Apartment in Hurlingham for rent,Wood Avenue,"100
     
      sqm"
"2bdrm Bungalow in Batubatu Road, Parklands/Highridge for rent",1st parklands,Batubatu road
4bdrm Maisonette in Kitengela for Rent,Kitengela,Newly-Built
Furnished 1bdrm Apartment in Milimani for rent,Mawensi Road,"71
     
      sqm"
4bdrm Maisonette in Kibiku for rent,Kibiku,"200
     
      sqm"
"3bdrm Apartment in Kirigiti, Kiambu / Kiambu  for rent",Kirigiti,Kirigiti
"1bdrm Apartment in Langata, Deliverance for rent",Lower langata,Langata
Furnished 2bdrm Apartment in Parklands/Highridge for rent,Near Meseum Hill,"95
     
      sqm"
2bdrm Apartment in Lenana for rent,Next to Lenana school,"100
     
      sqm"
"Furnished 1bdrm Apartment in Behind Citymall, Nyali for rent",Links road,Behind Citymall
1bdrm Apartment in Kilimani for rent,Kilimani,Kilimani
One Bedrooms South C at 20000,Oleshapara,Newly-Built
"Furnished Studio Apartment in Riara Road, Lavington for rent",Lavington Nairobi,Riara Road
2bdrm Apartment in Uthiru Estate for rent,Waiyaki Way,Uthiru Estate
Furnished 1bdrm Apartment in Westlands for rent,westlands,"1260
     
      sqm"
2bdrm Apartment in Kileleshwa for rent,Kileleshwa Nairobi,Kileleshwa
"2bdrm Apartment in Off Redhill Road, Ruaka for rent",Redhill Cliff Complex,Off Redhill road
1bdrm Apartment in Zimmerman Estate for rent,Zimmerman Street,Zimmerman Estate
3bdrm Maisonette in Langata for rent,Upper langata,"250
     
      sqm"
2bdrm Apartment in Riruta for Rent,Nyakinyua Rd,"100
     
      sqm"
3bdrm Apartment in Valley Arcade for rent,Lavington Nairobi,Valley Arcade
"Furnished 2bdrm Penthouse in Royal Beachfront, Shanzu for rent","Shanzu, Mombasa",Royal beachfront apartments Mombasa
"3bdrm Apartment in Manara Estate, Nyali Mkomani for Rent",nyali,manara estate
"2bdrm Apartment in Spaki, Tudor for rent",Swaleh nguru,spaki
"5bdrm House in Redhill, Tigoni for rent",Redhill limuru,Redhill
1bdrm Apartment in Nairobi West for rent,Nairobi west,Nairobi west
"Furnished 3bdrm Bungalow in Vescon 3 Estate, Mtwapa for rent",Mtwapa,Vescon 3 Estate
3bdrm Apartment in Madaraka for rent,Madaraka primary,Madaraka
Buruburu Very Large 2 Bedroom House to Let,Nairobi,Fairly Used
"2bdrm House in Thindigua Delta, Kiambu / Kiambu  for rent",2 bedroom Units Thindigua,Thindigua Delta
3bdrm Apartment in Ruaka for rent,"Ruaka, muchatha","122
     
      sqm"
"4bdrm Maisonette in Syokimau, Gateway Mall Area for rent",Syokimau,Syokimau
"Modern 5bedroomed Maisonette, Dsq and Garage",Lavington Off Muthangari Road,"500
     
      sqm"
"2bdrm Apartment in Olive Inn, Kiamunyi for Rent",olive Inn,Olive Inn
Four Bedrooms All Ensuite Parkland,Renovated,Unfurnished
New 1bedroom Mtwapa RAYOHPROPERTIES,No,Unfurnished
3bdrm Bungalow in Karen for rent,Karen,Karen
1bdrm Apartment in Madaraka for Rent,Madaraka,"60
     
      sqm"
2bdrm Apartment in South C for Rent,Five Star area,"5000
     
      sqm"
1bdrm Apartment in Kilimani for Rent,ngong road,"70
     
      sqm"
Furnished 3bdrm Mansion in Elgonview for rent,Elgonview,Elgonview
3bdrm Apartment in Lavington for Rent,Gitanga,"12
     
      sqm"
BEDSITTER Mtwapa to Let,Newly-Built,1
Beautiful 3bedroom Apartment Nyali RAYOHPROPERTIES,No,3
"2bdrm Apartment in Shopping Center, Nairobi West for rent",Nairobi,Shopping center
3bdrm Apartment in South B for Rent,Sanasana,Renovated
"7bdrm Maisonette in Corradin, Junction/Benedicta for rent",Utawala corradin,Corradin
6bdrm House in Loresho for rent,Loresho,Loresho
2bdrm Apartment in Nairobi West for Rent,Nairobi west,Nairobi west
2bdrm Bungalow in Nairobi West for Rent,Kisauni Road,Renovated
"1bdrm Apartment in Skyman Properties, Lower Kabete for rent",Karura,Skyman Properties
3bdrm Apartment in Kilimani for rent,Lenana road,"150
     
      sqm"
"3bdrm Apartment in Valley Arcade, Lavington for rent",Lavington Nairobi,Valley Arcade
"1bdrm Bedsitter in Neer Sacred Heart, Banana for rent",BANANA-RUAKA ROAD,NEER SACRED HEART HOSPITAL
House To Let Along Eastern Bypass,KAMAKIS,Newly-Built
4bdrm Maisonette in Jamhuri for rent,Jamhuri,"400
     
      sqm"
"3bdrm Apartment in Pavilion Apartment, Thogoto for rent",Thogoto,Pavilion Apartment
3bdrm Bungalow in Kimbo for rent,St. Linda,"2500
     
      sqm"
"Furnished 1bdrm Bedsitter in Papino Estate, South B for rent",Sori street,Papino Estate
"One Bedrooms South B at 24,000/=",South B,Newly-Built
1bdrm Apartment in Kileleshwa for Rent,Kileleshwa,"100
     
      sqm"
Furnished 1bdrm Apartment in Nairobi West for rent,Kodi 2 Road,Nairobi West
1bdrm Apartment in South B for Rent,Sanasana,Newly-Built
3bdrm Apartment in Kirigiti Kiambu for rent,Kiambu Kirigiti,Kirigiti Kiambu
"3bdrm Apartment in Hatheru Road, Lavington for rent",Lavington Nairobi,Hatheru Road
3bdrm Maisonette in Complex Utawala for rent,Utawala MC,"900
     
      sqm"
"3bdrm Bungalow in Kamakis, Ruiru for rent",Fairly used 3 bedroom,Kamakis
"2bdrm Apartment in Mtwapa K, Shimo La Tewa for Rent",ray,mtwapa k
Furnished 5bdrm Maisonette in Riverside for Rent,Riverside,Riverside
"2bdrm Apartment in Mwembeni, Bamburi for rent",Mwembeni,Mwembeni
3bdrm Apartment in Valley Arcade for Rent,Gitanga road,"110
     
      sqm"
Mini Flat in Kahawa Sukari Estate for rent,Kahawa Road,KAHAWA SUKARI ESTATE
1bdrm Apartment in Nairobi West for rent,Nairobi west,Nairobi west
Furnished 3bdrm Apartment in Kilimani for Rent,YAYA CENTRE/ WOOD AVENUE,"180
     
      sqm"
2bdrm Apartment in Langata for Rent,Dam-estate,"80
     
      sqm"
1bdrm Apartment in Kiambu Ebonia for rent,Ebonia,Kiambu Ebonia
5bdrm Townhouse / Terrace in Thome for rent,22 Thome,Thome
"2bdrm Apartment in Willow Park, Ruaka for rent",Banana,Willow park
"2bdrm Apartment in Riara Road, Kilimani for rent",Kilimani Nairobi,Riara Road
"3bdrm Apartment in Zawadi, Utange for rent",Utange,Zawadi
"4bdrm Duplex in Kapsoya, Eldoret CBD for rent",Kapsoya,Kapsoya
4bdrm Duplex in Riverside Drive for rent,Lavington Nairobi,Riverside Drive
"2bdrm Apartment in 1/2/3Br Master, Parklands/Highridge for rent",Parklands,1/2/3Br master ensuite
"Studio Apartment in Ack Church, Thogoto for Rent",THOGOTO,ACK CHURCH
"6bdrm Maisonette in Muwa, Umoja for rent",18341-20100 Nakuru,Muwa
2bdrm Block of Flats in Ongata Rongai for rent,stage1,"200
     
      sqm"
2 Bedroom Apartments in Loresho,Kaptagat Road,Loresho
Furnished 1bdrm Apartment in Kilimani for rent,Kilimani,Kilimani
3bdrm Apartment in Nakuru Town East for Rent,Nakuru Town,Newly-Built
2bdrm Apartment in Ongata Rongai for rent,Wama,"80
     
      sqm"
"1bdrm Block of Flats in Susan Apartment, Muchatha for rent",Kibutu stage,Susan apartment
"Furnished 2bdrm Apartment in Amalia Apartments, Syokimau for rent",Amalia apartments,Amalia apartments
"3bdrm Apartment in Westland General, Westlands for Rent",Wesland,WESTLAND GENERAL MATHENGE
3bdrm Block of Flats in South C for rent,Dafam area,South c
Mini Flat in Near Nairobi West for rent,1&2 Br flats in Nairobi west,Near Nairobi West Hospital
"Furnished 1bdrm Bedsitter in Kimumu, Peris Drive, Moiben for Rent",iten rd,"Kimumu, Peris Drive"
Furnished Apartment Nairobi West,Newly-Built,Standard
"2bdrm Apartment in Ngong Road, Kilimani for rent",Kilimani Nairobi,NGONG ROAD
"1bdrm Block of Flats in Capital Hill, Ruai for rent",Mawe mbili road,capital hill
2bdrm Apartment in Kilimani for rent,Kilimani,"100
     
      sqm"
"Furnished 2bdrm Apartment in Westlands, Raphta Road Area for rent",Muthangari drive,Westlands
3bdrm Apartment in Madaraka for Rent,Nairobi West,Unfurnished
"2bdrm Bungalow in Utumishi, Kitengela for rent",Utumishi,Utumishi
Furnished 3bdrm Apartment in Nyali for rent,Links road,Nyali
2bdrm Apartment in South B for Rent,Balozi,Newly-Built
"4bdrm Maisonette in Vision Park, Kamakis for rent",2,VISION PARK
5bdrm Mansion in Rosslyn Lone Tree for rent,Rosslyn Estate,Rosslyn lone tree
2bdrm House in Thindigua for rent,Near Mzuzi park,Thindigua
"2bdrm Apartment in Next Gen, South C for rent",Dafarm,Next gen
3bdrm Apartment in Kileleshwa for Rent,Kileleshwa,Kileleshwa
1bdrm Apartment in Zimmerman Estate for Rent,Zimmerman Street,Zimmerman Estate
3bdrm Maisonette in Kiambu Town for rent,Kiambu town  3 bedroom,Kiambu town
Furnished 4bdrm Villa in Malindi for rent,lamu rd,"4000
     
      sqm"
3bdrm Block of Flats in Vescon for rent,Vescon estate Bamburi,Vescon
"2bdrm Duplex in Yukos, Kitengela for rent",Kitengela,Yukos
1bdrm Apartment in Bamburi Mwembeni for rent,One bedroom apartment to let,Bamburi mwembeni
"3bdrm Apartment in Beachroad, Nyali for rent",uhuru drive,Beachroad
2bdrm Apartment in Loresho for rent,Loresho,Loresho
5bdrm Maisonette in Runda for rent,5 bedroom with dsq,Runda
2bdrm Apartment in Parklands/Highridge for rent,City Park Drive off Limuru Road,"700
     
      sqm"
1bdrm Bedsitter in Juja Gate C for rent,Juja Gate C,Juja Gate C
Furnished 2bdrm Apartment in Kilimani for Rent,Kilimani,Kilimani
"Furnished 1bdrm Apartment in Riverside, Kileleshwa for rent","Riverside Square, Riverside Drive",Riverside
Furnished 2bdrm Apartment in Kileleshwa for rent,Kikambala road,"130
     
      sqm"
6bdrm Maisonette in Membley Estate for rent,RUIRU TOWNSHIP,"1000
     
      sqm"
"Furnished 4bdrm Apartment in Greenwood Drive, Nyali for rent",Nyali greenwood,Greenwood drive
"2bdrm Apartment in Delta Apartments, Mahiakalo for rent",Mahiakalo behind mwiyala secondary school,Delta Apartments
1bdrm Bedsitter in Thogoto for rent,Gikambura,"20
     
      sqm"
Furnished 4bdrm Apartment in Westlands for rent,Peponi Road,Westlands
4bdrm Apartment in Nyali for rent,NYALI CITY MALL,"10
     
      sqm"
1&2 Bedroom Fully Furnished Apartment In Westlands For R,4,Furnished
"1bdrm Apartment in Zimma, Zimmerman for rent",behind Deliverance Church,zimma
3bdrm Apartment in Bamburi Beach Front for Rent,bamburi beach,bamburi beach front
"Furnished 1bdrm Apartment in Links, Nyali Mkomani for rent",Links road,Links
"4bdrm Maisonette in Safaricom 2, Kitengela for rent",Yukos area,Safaricom 2
Furnished Studio Apartment in Nyali for rent,80100,Nyali
"Furnished 1bdrm Apartment in Balozi, South B for Rent",likoni road,balozi
"2bdrm Apartment in Kiahuria, Wangige for rent",kiahuria near wangige hospital,kiahuria
Furnished 1bdrm Bedsitter in Naivasha for rent,FULLY FURNISHED BEDSITTER FOR RENT IN NAIVASHA,NAIVASHA
3bdrm Bungalow in Ngoingwa Opposite for rent,2nd Avenue,NGOINGWA OPPOSITE TEDMATT SUPERMARKET
"2bdrm Apartment in Kamakis, Ruiru for rent",kamakis bypass,kamakis
4bdrm Townhouse / Terrace in Runda for rent,Runda Panafric,"450
     
      sqm"
Rayohproperty 3bedroom to Let With Fresh Water,rayomosh14@gmail.com,Fairly Used
Spacious 2bedroomed Apartment to Let,off jabavu Road,Jabavu Apartments.
2bdrm Apartment in Hurlingham for rent,kilimani,"106
     
      sqm"
"1bdrm Apartment in Marina Area, Mtwapa for rent",80109 Mtwapa,Marina Area
"Three Bedrooms Plus Sq South C @55,000/=",Akiba,Akiba
Furnished 3bdrm Apartment in Parklands/Highridge for rent,Riverside,"80
     
      sqm"
2bdrm Bungalow in Karen for rent,Karen,Karen
"2bdrm Apartment in Yaya Centre, Kilimani for rent",Kilimani Nairobi,Yaya Centre
"Furnished 3bdrm Villa in Micasa Homes, Eldoret CBD for rent",Ronald Ngala Street,Micasa Homes
4bdrm Townhouse in Karen for Rent,"windy ridge, Karen",Fairly Used
Master Ensuites 2bedrooms To Let In Kiamunyi,kiamunyi,Fairly Used
Studio Apartment in Madaraka for rent,Madaraka,Madaraka
4bdrm Mansion in Runda for rent,Runda Spacious 4 Bedroom Townhouse  Gated Estate Renting,Runda
"2bdrm Apartment in Skyman Properties, Uthiru for Rent",87 Junction,Skyman Properties
2bdrm House in Lavington for rent,Off Gitanga rd,Lavington
"2bdrm Apartment in Njoroge'S Apartments, Ruthimitu for rent",kikuyu road,Njoroge's apartments
"Furnished 2bdrm Apartment in Riara Road, Lavington for rent",Lavington Nairobi,Riara Road
4bdrm Mansion in BuruBuru for Rent,1000,Renovated
2bdrm Apartment in Nairobi West for Rent,Nairobi west,Nairobi west
"Furnished 2bdrm Apartment in Westlands, Spring Valley for rent",Ring road,westlands
2bdrm Apartment in Langata for Rent,langata,Renovated
1bdrm Bedsitter in Gachie for Rent,"Kihara, Sr George","26
     
      sqm"
Studio Apartment in Kileleshwa for rent,Kangundo road off Tebere crescent,Kileleshwa
Furnished 2bdrm House in Runda for rent,RUNDA EVERGREEN-NEAR PCEA RUNDA,"80
     
      sqm"
4bdrm Mansion in Membley for rent,4 bedroom house in membley for rent,Membley
2bdrm Apartment in Ruiru for rent,Ruiru,"210
     
      sqm"
Furnished 4bdrm Villa in Runda for rent,Runda,Runda
Furnished 2bdrm Apartment in Kilimani for rent,kilimani,"700
     
      sqm"
"Bedsitter Nairobi West at 10,000/=",Renovated,Unfurnished
Furnished 3bdrm Apartment in Spring Valley for rent,Oakland Apartments,Spring valley
Two Bedrooms Master Ensuite Langata Delivarance,Deliverance area,Renovated
"Three Bedrooms Apartments Master Ensuit South B at 40,000/=",Newly-Built,Standard
"3bdrm Maisonette in Gesonso Estates, Kisii CBD for rent",Gesonso,Gesonso Estates
1bdrm Apartment in Thindigua Kasarini for rent,Kiambu road,Thindigua Kasarini
"Furnished 3bdrm Apartment in Links Road, Nyali Mkomani for rent",Links road,Links road
3bdrm Apartment in Valley Arcade for rent,Gitanga road,"150
     
      sqm"
2bdrm Duplex in Nyali for Rent,Nyali,"1200
     
      sqm"
3bdrm Apartment in Kileleshwa for rent,kangundo road,"90
     
      sqm"
"2bdrm Apartment in Riara Road, Lavington for rent",Lavington Nairobi,Riara Road
"4bdrm Bungalow in Milimani, Kitengela for rent",4 BEDROOM BUNGALOW TO-LET,Milimani
2bdrm Apartment in Langata for rent,Upper langata,"80
     
      sqm"
3bdrm Maisonette in Langata for Rent,Dam estate,Renovated
"4bdrm Apartment in Cooperation, Kikuyu for Rent",uthiru,cooperation
2bdrm Apartment in Bamburi Mtamboni for rent,"Modern two bedroom hse to let, bamburi",Bamburi mtamboni
"3bdrm Apartment in Hatheru Road, Lavington for rent",Lavington Nairobi,Hatheru Road
Bedsitter for Rent,shirere,shirere
1bdrm Bedsitter in Nairobi West for Rent,Kisauni Road,Renovated
"1bdrm Apartment in Stephen Homes, Riruta for rent",NDWARU ROAD OFF NAIVASHA ROAD,STEPHEN HOMES
Furnished 2bdrm Apartment in Kilimani for rent,Kilimani,Kilimani
Furnished 2bdrm Apartment in Westlands for rent,Rhapta Road,"150
     
      sqm"
"Furnished 1bdrm Apartment in Easy Homes, South B for Rent",23,Easy homes
Furnished Studio Apartment in Kilimani for rent,YAYA CENTER,"50
     
      sqm"
2bdrm Bungalow in Hurlingham for Rent,Kilimani,Unfurnished
"Furnished 3bdrm Apartment in Lantana Gardens, Kilimani for rent",off Denis Pritt road,Lantana Gardens
2bdrm Apartment in South B for rent,south B,south B
2bdrm Apartment in South B for Rent,Capital Centre,Renovated
3bedroom Nyali RAYOHPROPERTIES Apartment,No,3
1bdrm House in Ukunda for rent,Millennium,"10
     
      sqm"
2bdrm Apartment in Ongata Rongai for rent,Tuskys,"80
     
      sqm"
"Furnished 1bdrm Apartment in Enkang Apartments, Dagoretti Corner",345-00204,ENKANG APARTMENTS
"1bdrm Apartment in Skyman Properties, Kinoo for rent",Kinoo,SKYMAN PROPERTIES
1bdrm House in Buruburu for rent,Mumias road,Buruburu
2bdrm Apartment in Nairobi West for rent,Sumba road,Nairobi west
4bdrm Apartment in South B for Rent,South B,Newly-Built
2bdrm Apartment in Thindigua for rent,Kiambu road,Thindigua
1bdrm Apartment in Langata for rent,Upper langata,"20
     
      sqm"
Furnished 3bdrm Apartment in Kilimani for rent,Kilimani,Kilimani
1bdrm Apartment in Nairobi West for rent,Nairobi wes,Nairobi west
"Furnished Studio Apartment in Motoin, Karen for Rent",cottage for rent,motoin
"3bdrm Apartment in Riara Road, Lavington for rent",Lavington Nairobi,Riara Road
"Studio Apartment in Rungiri, Gitaru for rent",Along Waiyaki Way 30 metres from the road,Rungiri
"2bdrm Apartment in Five Star, South C for rent",south c,five star
2bdrm House in Karen for rent,Karen,Karen
2bdrm Apartment in Ridgeways for rent,RIDGEWAYS,RIDGEWAYS
2bdrm Apartment in Kileleshwa for rent,Kileleshwa,Kileleshwa
3bdrm Maisonette in Spring Valley for Rent,peponi Road,spring Valley
4bdrm Mansion in Nyali for rent,NYALI LINKSROAD,"10
     
      sqm"
Furnished 1bdrm Apartment in Kileleshwa for Rent,Kileleshwa,Kileleshwa
2bdrm Apartment in Deliverance for Rent,Deliverance,"5000
     
      sqm"
"1bdrm Block of Flats in Kings, Kenyatta Road / Theta for Rent",1 BEDROOM APARTMENT TO LET IN JUJA,Kings
Clean Bedsitter in Kilimani for Rent,3,Unfurnished
3bdrm Apartment in Kileleshwa for Rent,"Beautiful 3 Bedroom, Master En-suite",Kileleshwa
"1bdrm Bedsitter in School Lane Rd, Westlands for rent",1000,School Lane rd
2bdrm Apartment in Hurlingham for Rent,Coptic Hospital,Unfurnished
1bdrm House in Gitaru for rent,Rukubi,"35
     
      sqm"
"4bdrm Maisonette in Githingiri, Kahumbu for rent","Githingiri,delview",Githingiri
7bdrm Villa in Karen for rent,2nd Street,KAREN
"2bdrm Apartment in 2 Bedroom Apartment, Milimani for Rent",milimani road,2 bedroom apartment for rent
4bdrm House in Runda for rent,Paradise lost,"530
     
      sqm"
3bdrm Apartment in Muthiga for rent,Muthiga,Muthiga
Bedsiiter Nairobi West,Newly-Built,Standard
Furnished 1bdrm Apartment in Riverside Drive for rent,Riverside,Fairly Used
"1bdrm Apartment in Ndumberi, Kiambu / Kiambu  for rent",Kiambu town Near Ndumberi,Ndumberi
4bdrm Maisonette in Kitengela for rent,Kitengela,"135
     
      sqm"
"1bdrm Apartment in Ahadi Suites, Nairobi Central for rent",Kindaruma Road,Ahadi suites
5bdrm Apartment in Westlands for Rent,Peponi road,"100
     
      sqm"
Spacious Modern 2bedroomed Apartments to Let,Ngong Road OPP Impala Club,"155
     
      sqm"
2bdrm Apartment in South C for Rent,Fivestar,"5000
     
      sqm"
"4bdrm Duplex in Loft Residence, Runda for rent",Two rivers,Loft Residence
"2bdrm Apartment in Hatheru Road, Lavington for rent",Lavington Nairobi,Hatheru Road
"3bdrm Apartment in Valley Arcade, Lavington for rent",Lavington Nairobi,Valley Arcade
"3bdrm Apartment in Rose Avenue, Hurlingham for Rent",Kilimani Nairobi,Rose Avenue
"2bdrm Bungalow in Dam View Area, Mariakani for rent",Damview,Dam view area
"7bdrm Bungalow in Syokimau, Hotel 67 Area for rent",Syokimau,Syokimau
3bdrm Penthouse in Kikuyu for rent,Gitaru,"100
     
      sqm"
2bdrm Apartment in Langata for Rent,Otiende,"100
     
      sqm"
1bdrm Apartment in Mtambo for Rent,bamburi mtambo,mtambo
"2bdrm Apartment in Kasuku Center, Kileleshwa for rent",Kasuku,Kasuku center
1bdrm Apartment in Deliverance for Rent,Deliverance,Newly-Built
2bdrm Bungalow in Harambee for rent,harambee road,harambee
"4bdrm House in Mt Kenya Road, Nyali Mkomani for rent",Mt kenya road,Mt kenya road
4bdrm Mansion in Kitengela Milimani for rent,4Bedroom Mansion to let,Kitengela Milimani
2bdrm Bungalow in Kitengela for rent,Kitengela,Kitengela
2bdrm Apartment in Langata for rent,Dam estate,"80
     
      sqm"
Mini Flat in South C. for rent,Muhoho road,South c.
2bdrm Apartment in Mtwapa for rent,80109,Mtwapa
"2bdrm Apartment in Rambai Estate, BuruBuru for Rent",buruburu road,Rambai estate
"3bdrm Maisonette in Hillside Homes, Ngong for rent",Ngong Kibiko,Hillside Homes
1bdrm Apartment in Ruaka for rent,"Ruaka, after joyland","112
     
      sqm"
2bdrm Apartment in Shanzu for Rent,Shanzu,"1800
     
      sqm"
3bdrm Apartment in Uthiru for rent,Waiyaki Way,Uthiru
"1bdrm Apartment in Swatch, Muguga for rent",Swatch,Swatch
1bdrm Bedsitter in Likoni for rent,Newyork,"380
     
      sqm"
"3bdrm Maisonette in Tena Estate, Donholm for rent",Tena Estate Off Manyanja Rd.,Tena Estate
3bdrm Apartment in Kileleshwa for rent,Kandara,"160
     
      sqm"
"3bdrm Maisonette in Milimani, Kitengela for Rent",milimani Kitengela,milimani
2bdrm Apartment in South B for Rent,south B,south B
"3bdrm House in Fairview, Nakuru Town East for rent",Po box 20100 nakuru,Fairview
1bdrm Apartment in Madaraka for rent,Ole sangale rd,Madaraka
2bdrm Apartment in Nairobi West for rent,Nairobi west,Nairobi west
"1bdrm Block of Flats in South C, Akiba for rent",Ole shapara Avenue,"South C, Akiba"
"2bdrm Apartment in Kiamunyi, Menengai West for rent",Nakuru kabarak road,Kiamunyi
Buruburu Very Spacious 1 Bedroom House To Let,Nairobi,Fairly Used
"5bdrm Maisonette in East Church Rd, Raphta Road Area for Rent",East Church Rd,East Church Rd
Furnished 1bdrm Penthouse in Valley Arcade for rent,Valley arcade,"40
     
      sqm"
"2bdrm Apartment in Mirema Spring Estate, Zimmerman for rent",Mirema drive,Mirema Spring Estate
RAYOHPROPERTY 1BEDROOM to Let,rayomosh14@gmail.com,Fairly Used
"4bdrm Maisonette in Safaricom 2, Kitengela for Rent",safaricom 2,safaricom 2
"Furnished 1bdrm Bungalow in Kilimani, Hurlingham for Rent",Kilimani,Kilimani
"2bdrm Apartment in Maziwa, Lavington for Rent",Off Gitanga road,maziwa
Furnished 2bdrm Apartment in Muthangari for rent,Karbasiran road,"120
     
      sqm"
"One Bedrooms South B Shopping Centre at 20,000/=",Shopping Centre,Renovated
"Furnished 1bdrm Apartment in Royban, Roysambu for Rent",Trm Drive,Royban
3bdrm Townhouse / Terrace in Mountain View for rent,Mountain view,Mountain view
3bdrm Apartment in Nairobi West for Rent,Gadhi Avenue,Renovated
Furnished 1bdrm Apartment in Westlands for rent,WESTLANDS RD,"80
     
      sqm"
1bdrm Apartment in Bamburi for rent,"Modern one bedroom hse to let, bamburi mtamboni","400
     
      sqm"
1bdrm Apartment in Dam Estate for Rent,deliverance,"70
     
      sqm"
"4bdrm Maisonette in Muigain, Kenyatta Road / Theta  for rent",Four bedroom maisonette with dsq,Muigain
1bdrm Block of Flats in Embakasi for rent,Tassia,"100
     
      sqm"
1bdrm Apartment in Deliverance for Rent,Rubis,"5000
     
      sqm"
3BEDROOM to Let Shanzu With Swimming Pool RAYOHPROPERTIES,Yes,3
"3bdrm Shared Apartment in Mugumo Estate, Kiambu / Kiambu for rent",3 bedroom mugumo estate,Mugumo estate
Furnished 3bdrm Apartment in Old Nyali for Rent,nyali,old nyali
Furnished 2bdrm Apartment in Riverside Drive for rent,"Riverside, Kilimani","90
     
      sqm"
2bdrm Apartment in Bamburi for Rent,"Elegant two bedroom house to let, bamburi mtamboni","200
     
      sqm"
4bdrm Townhouse in South C for Rent,Fivestar,Renovated
2bdrm Apartment in Ongata Rongai for rent,Exciting,"70
     
      sqm"
3bdrm Bungalow in Karen for Rent,Karen shopping center,Renovated
4bdrm Maisonette in Membley for rent,Membley,Membley
Furnished 1bdrm Apartment in Kilimani for rent,Kilimani,"290
     
      sqm"
5bdrm Maisonette in Karen for rent,Karen,"1000
     
      sqm"
"3bdrm Bungalow in Lower Milimani, Kitengela for rent",Lower milimani,Lower milimani
"4bdrm Maisonette in Karen Malura, Hardy for Rent",Karen hardly,Karen malura
2bdrm Apartment in Muguga for rent,Muguga,"85
     
      sqm"
"Four Bedrooms South C Plus SQ at 55,000/=",Renovated,Unfurnished
"5bdrm Maisonette in Mugutha, Kimbo for rent",Judea,Mugutha
Mini Flat in Buruburu Phase 1 for Rent,mumias road,buruburu phase 1
5bdrm House in Runda for rent,"Runda, Nairobi","450
     
      sqm"
Furnished 2bdrm Apartment in Raphta Road Area for rent,536,"120
     
      sqm"
3bdrm Bungalow in Kitengela for Rent,Kitengela Mlimani,"150
     
      sqm"
3bdrm Bungalow in Karen C for rent,Kufuga Road,"1144
     
      sqm"
"3bedroom With Dsq, Riara Road",Riara Road,"1720
     
      sqm"
